College,Subject,Number,Title,Units,CID,CCN,Description(220ch)
American River College,CARPT,101,Introduction to Apprenticeship II,1.5,,Not Applicable,"This course introduces the beginning carpenter apprentice to industry safety procedures for aerial lift use, Occupational Health and Safety Organization (OSHA) regulations, construction fall protection, and scaffold user"
American River College,CARPT,103,OSHA 10-hour Construction Training Course,0.5,,Not Applicable,"This course is designed with Occupational Safety and Health Administration (OSHA) recommendations for the 10-Hour Construction Training Program. It covers recognition, avoidance, abatement, and prevention of occupational"
American River College,CARPT,105,CPR for Carpenters Apprentices,0.5,,Not Applicable,"Adhering to American Red Cross guidelines, this course meets the training requirements of the Carpenter's Apprenticeship for adult Cardiopulmonary Resuscitation (CPR). It provides knowledge and skills for emergency life-"
American River College,CARPT,106,Introduction to Apprenticeship,1.5,,Not Applicable,"This course is an introduction to apprenticeship, tools, safety, and construction job sites in the commercial and industrial building sectors. This course is the equivalent of course number 001 for the Carpenter's Traini"
American River College,CARPT,107,Rigging,1.5,,Not Applicable,"This course familiarizes apprentices with the equipment and the procedures to safely rig and hoist various loads on the job-site. Topics include tying knots, splicing rope, calculating loads, hand signals for cranes, and"
American River College,CARPT,108,Modular System Installer Safety,1.5,,Not Applicable,"This course introduces the beginning carpenter apprentice to industry safety procedures for aerial lift use, Occupational Health and Safety Association (OSHA) regulations, construction fall protection, and scaffold user "
American River College,CARPT,109,Introduction to Office Modular Systems Installation,1.5,,Not Applicable,"This course introduces the installation of modular systems including major manufacturers of modular systems, applicable math, blueprints, specifications, and the creation of a realistic installation mockup. It also cover"
American River College,CARPT,110,Foundations and Floors,1.5,,Not Applicable,"This course covers layout, forming, framing, joist, sub-flooring, and foundation construction. This course is the equivalent of course number 004 for the Carpenter's Training Center of Northern California (CTCNC)."
American River College,CARPT,111,Tool and Equipment Applications,1.5,,Not Applicable,This course introduces the Modular Systems Installer Apprentice to proper tool and equipment applications required while assembling and disassembling modular office furniture systems. It also covers personal financial li
American River College,CARPT,112,Structural Framing,1.5,,Not Applicable,"This course covers basic framing systems and layout of walls, ceilings, and stairwells with wood as well as metal and alternative ""green"" materials such as manufactured panels. This course is the equivalent of course num"
American River College,CARPT,114,"Form Detailing, Construction & Erection",1.5,,Not Applicable,"This course covers planning and building of form work, construction and erection of various concrete forms, and construction materials and methods. It also explores new types of building materials such as recycled and al"
American River College,CARPT,115,Floor to Ceiling Wall System Construction,1.5,,Not Applicable,This course introduces the Modular Systems Installer Apprentice to floor to ceiling modular wall construction. It also covers blueprint reading and understanding manufacturers' system components and parts. This course is
American River College,CARPT,120,Exterior Finish,1.5,,Not Applicable,"This course covers exterior design, materials, finishes, and methods of application in exterior building construction. Topics include an overview of the hazards of Volatile Organic Compounds (VOCs) and pathogens. This co"
American River College,CARPT,122,Interior Finish,1.5,,Not Applicable,"This course covers interior designs, materials, and methods of application in building construction. Topics include techniques of indoor air quality practices in order to reduce Volatile Organic Compounds (VOCs) and path"
American River College,CARPT,124,Commercial Door Hardware,1.5,,Not Applicable,"This course covers the basic skills necessary to successfully install commercial door hardware. Topics include selecting hardware, hanging and adjusting a door, and installing locks, closers, rim devices, door holders, a"
American River College,CARPT,125,"Drapery, Window Coverings, and Fine Furnishings",1.5,,Not Applicable,"This course introduces the Modular Systems Installer Apprentice to high-end and custom furniture, wall installations, draperies, and window coverings. It also covers tool selection, skills for proper installation, and ma"
American River College,CARPT,130,Layout/Leveling Construction Site Practice,1.5,,Not Applicable,"This course covers the use of leveling devices. It includes reading and interpreting an engineer's rod, horizontal and vertical setting circles, and vernier scaling. Additional topics include construction layout of horiz"
American River College,CARPT,131,"Introduction to Working Drawings, Construction Math and Fire Stop Installation",1.5,,Not Applicable,"This course introduces Insulator Apprentices to construction math, basic blueprint reading, and fire stop installation. It also covers safe use and maintenance of hand tools."
American River College,CARPT,132,Residential Blueprint Reading and Forklift Safety,1.5,,Not Applicable,This course introduces Insulator Apprentices to residential blueprint terminology and interpretation. Forklift safety is also included.
American River College,CARPT,133,Residential Insulation and Weatherization,1.5,,Not Applicable,This course introduces the Insulator Apprentice to insulation and weatherization installation. Topics include environmental impact on traditional construction and organizations that provide guidelines and certification f
American River College,CARPT,134,Commercial Blueprint Reading and Mobile Tower Scaffolds,1.5,,Not Applicable,This course introduces Insulator Apprentices to commercial blueprint terminology and interpretation. It also covers the erection of and safe practices for welded frame mobile and rolling tower scaffolds.
American River College,CARPT,135,Commercial and Industrial Insulation and Aerial Lift,1.5,,Not Applicable,This course introduces the Insulator Apprentice to commercial and industrial insulation installation. It also covers the rules and regulations governing the safe use of aerial lifts.
American River College,CARPT,136,Energy Conservation Codes and Standards,1.5,,Not Applicable,This course introduces the Insulator Apprentice to energy conservation codes and standards. It also covers Green Advantage certification and CalGreen building code requirements.
American River College,CARPT,137,Modular Systems Construction and Quality Control I,1.5,,Not Applicable,This course introduces the Modular Systems Installer Apprentices to safe and productive ways to handle modular components on a job site using the proper equipment. It also covers the proper way to lift and move modular c
American River College,CARPT,138,Modular System Construction and Quality Control II,1.5,,Not Applicable,This course introduces the Modular Systems Installer Apprentices to advanced modular system construction with a focus on panelized furniture and cubicle partitions including electrical diagrams. It also covers forklift o
American River College,CARPT,140,Interior Systems,1.5,,Not Applicable,"This course is a comprehensive study of materials, work processes, and the proper use of tools necessary to install gypsum wallboard and interior metal studs. Topics include green practices used in construction. This cou"
American River College,CARPT,141,Suspended Framing Ceiling Systems,1.5,,Not Applicable,This course introduces the Acoustical Apprentice to the installation of suspended framing ceiling systems and situations which require special installation techniques. It also covers industry standards and manufacturers'
American River College,CARPT,142,Engineered Structural Systems,1.5,,Not Applicable,"This course covers heavy timber construction in dams, bridges, and trusses. Topics include lamination and the proper disposal and recycling of materials. This course is the equivalent of course number 013 for the Carpent"
