id,rule,item,evidence,suggestion,needs_judgment,group
CSR0001,cs4_aligned,English,"canonical ENGL == official CCN prefix (451 official rows) — semantic twin, ALIGNED",bless as aligned; record alignment doctrine,True,ccn
CSR0002,cs4_aligned,Economics,"canonical ECON == official CCN prefix (206 official rows) — semantic twin, ALIGNED",bless as aligned; record alignment doctrine,True,ccn
CSR0003,cs4_aligned,Communication Studies,"canonical COMM == official CCN prefix (192 official rows) — semantic twin, ALIGNED",bless as aligned; record alignment doctrine,True,ccn
CSR0004,cs4_aligned,History,"canonical HIST == official CCN prefix (189 official rows) — semantic twin, ALIGNED",bless as aligned; record alignment doctrine,True,ccn
CSR0005,cs4_aligned,Psychology,"canonical PSYC == official CCN prefix (150 official rows) — semantic twin, ALIGNED",bless as aligned; record alignment doctrine,True,ccn
CSR0006,cs4_missed_alignment,Political Science,official CCN prefix POLS (144 rows) unused; twin discipline uses POSC,curator call: converge POSC → POLS (Rule-7 re-mint) or record divergence reason,True,ccn
CSR0007,cs4_aligned,Mathematics,"canonical MATH == official CCN prefix (97 official rows) — semantic twin, ALIGNED",bless as aligned; record alignment doctrine,True,ccn
CSR0008,cs4_aligned,Anthropology,"canonical ANTH == official CCN prefix (50 official rows) — semantic twin, ALIGNED",bless as aligned; record alignment doctrine,True,ccn
CSR0009,cs4_aligned,Art History,"canonical ARTH == official CCN prefix (48 official rows) — semantic twin, ALIGNED",bless as aligned; record alignment doctrine,True,ccn
CSR0010,cs4_aligned,Biological Sciences,"canonical BIOL == official CCN prefix (37 official rows) — semantic twin, ALIGNED",bless as aligned; record alignment doctrine,True,ccn
CSR0011,cs4_aligned,Astronomy,"canonical ASTR == official CCN prefix (33 official rows) — semantic twin, ALIGNED",bless as aligned; record alignment doctrine,True,ccn
CSR0012,cs4_aligned,Sociology,"canonical SOCI == official CCN prefix (7 official rows) — semantic twin, ALIGNED",bless as aligned; record alignment doctrine,True,ccn
CSR0013,cs4_missed_alignment,Child Development/Early Childhood Education,official CCN prefix CDEV (2 rows) unused; twin discipline uses ECED,curator call: converge ECED → CDEV (Rule-7 re-mint) or record divergence reason,True,ccn
CSR0014,cs4_missed_alignment,Office Technologies,official CCN prefix BSOT (0 rows) unused; twin discipline uses OTEC,curator call: converge OTEC → BSOT (Rule-7 re-mint) or record divergence reason,True,ccn
CSR0015,cs4_missed_alignment,Commercial Music,official CCN prefix CMUS (0 rows) unused; twin discipline uses MUSC,curator call: converge MUSC → CMUS (Rule-7 re-mint) or record divergence reason,True,ccn
CSR0016,cs4_aligned,Education,"canonical EDUC == official CCN prefix (0 official rows) — semantic twin, ALIGNED",bless as aligned; record alignment doctrine,True,ccn
CSR0017,cs4_aligned,Engineering,"canonical ENGR == official CCN prefix (0 official rows) — semantic twin, ALIGNED",bless as aligned; record alignment doctrine,True,ccn
CSR0018,cs4_aligned,Geography,"canonical GEOG == official CCN prefix (0 official rows) — semantic twin, ALIGNED",bless as aligned; record alignment doctrine,True,ccn
CSR0019,cs4_missed_alignment,Health Information Technology,official CCN prefix HIT (0 rows) unused; twin discipline uses HEIT,curator call: converge HEIT → HIT (Rule-7 re-mint) or record divergence reason,True,ccn
CSR0020,cs4_missed_alignment,Computer Information Systems,official CCN prefix ITIS (0 rows) unused; twin discipline uses CSIS,curator call: converge CSIS → ITIS (Rule-7 re-mint) or record divergence reason,True,ccn
CSR0021,cs4_aligned,Journalism,"canonical JOUR == official CCN prefix (0 official rows) — semantic twin, ALIGNED",bless as aligned; record alignment doctrine,True,ccn
CSR0022,cs5_modal_diverge,Instructional Design/Technology,"modal LINC (share 0.55) but canonical EDTC, no _notes",confirm choice + record a note,True,
CSR0023,cs6_weak_mnemonic,Artificial Intelligence,canonical CSAI not derivable from name and absent from 29 observed variants,confirm or improve mnemonic (re-key evidence only),True,
CSR0024,cs6_weak_mnemonic,Building Codes and Regulations,canonical CNSR not derivable from name and absent from 9 observed variants,confirm or improve mnemonic (re-key evidence only),True,
CSR0025,cs6_weak_mnemonic,Cabinet Making,canonical CNSC not derivable from name and absent from 10 observed variants,confirm or improve mnemonic (re-key evidence only),True,
CSR0026,cs6_weak_mnemonic,Diesel Mechanics,canonical AUTD not derivable from name and absent from 37 observed variants,confirm or improve mnemonic (re-key evidence only),True,
CSR0027,cs6_weak_mnemonic,Electromechanical Technology,canonical ELMT not derivable from name and absent from 1 observed variants,confirm or improve mnemonic (re-key evidence only),True,
CSR0028,cs6_weak_mnemonic,Environmental Technologies,canonical ESCI not derivable from name and absent from 40 observed variants,confirm or improve mnemonic (re-key evidence only),True,
CSR0029,cs6_weak_mnemonic,Film and Media Studies,canonical FIMS not derivable from name and absent from 40 observed variants,confirm or improve mnemonic (re-key evidence only),True,
CSR0030,cs6_weak_mnemonic,Furniture Making,canonical CSTF not derivable from name and absent from 3 observed variants,confirm or improve mnemonic (re-key evidence only),True,
CSR0031,cs6_weak_mnemonic,Graphic Arts,canonical GRAF not derivable from name and absent from 40 observed variants,confirm or improve mnemonic (re-key evidence only),True,
CSR0032,cs6_weak_mnemonic,Licensed Vocational Nursing,canonical NRSV not derivable from name and absent from 21 observed variants,confirm or improve mnemonic (re-key evidence only),True,
