College_name_long,CB_COLLEGE_ID,CB_TERM_ID,CB_COURSE_ID,CB_CONTROL_NUMBER,CB_TITLE,CB_TOP_CODE,CB_CREDIT_STATUS,CB_TRANSFER_STATUS,CB_UNITS_MAXIMUM,CB_UNITS_MINIMUM,CB_BASIC_SKILLS_STATUS,CB_SAM_CODE,CB_COOP_ED_STATUS,CB_CLASSIFICATION_CODE,CB_SPECIAL_CLASS_STATUS,CB_PRIOR_TO_COLLEGE,CB_NONCREDIT_CATEGORY,CB_FUNDING_CATEGORY,CB_CRCC_ID,CB_PROGRAM_STATUS,CB_GENERAL_EDUCATION_STATUS,CB_SUPPORT_COURSE_STATUS,CB_UPPDER_DIVISION_STATUS
CUYAMACA COLLEGE,021,257,ARAM-121    ,CCC000074741,Aramaic II                                                          ,110100,D,A,5,5,N,E,N,Y,N,Y,Y,Y,ARAM-121    ,1,Y,N,N
CUYAMACA COLLEGE,021,257,ARBC-120    ,CCC000298116,Arabic I                                                            ,111200,D,A,5,5,N,E,N,Y,N,Y,Y,Y,ARBC-120    ,1,Y,N,N
CUYAMACA COLLEGE,021,257,ARBC-121    ,CCC000124885,Arabic II                                                           ,111200,D,A,5,5,N,E,N,Y,N,Y,Y,Y,ARBC-121    ,1,Y,N,N
CUYAMACA COLLEGE,021,257,ARBC-122    ,CCC000574913,Arabic for the Arabic Speaker I                                     ,111200,D,A,5,5,N,E,N,Y,N,Y,Y,Y,ARBC-122    ,1,Y,N,N
CUYAMACA COLLEGE,021,257,ARBC-123    ,CCC000574914,Arabic for the Arabic Speaker II                                    ,111200,D,A,5,5,N,E,N,Y,N,Y,Y,Y,ARBC-123    ,1,Y,N,N
CUYAMACA COLLEGE,021,257,ARBC-130    ,CCC000624949,Arabic Literature and Culture                                       ,111200,D,A,3,3,N,E,N,Y,N,Y,Y,Y,ARBC-130    ,1,Y,N,N
CUYAMACA COLLEGE,021,257,ARBC-145    ,CCC000451753,Arabic Civilizations                                                ,111200,D,A,3,3,N,E,N,Y,N,Y,Y,Y,ARBC-145    ,1,Y,N,N
CUYAMACA COLLEGE,021,257,ARBC-180    ,CCC000624950,Basic Computer Skills for Arabic Learners                           ,111200,D,B,1,1,N,E,N,Y,N,Y,Y,Y,ARBC-180    ,1,Y,N,N
CUYAMACA COLLEGE,021,257,ARBC-220    ,CCC000168038,Arabic III                                                          ,111200,D,A,5,5,N,E,N,Y,N,Y,Y,Y,ARBC-220    ,1,Y,N,N
CUYAMACA COLLEGE,021,257,ARBC-221    ,CCC000547347,Arabic IV                                                           ,111200,D,A,5,5,N,E,N,Y,N,Y,Y,Y,ARBC-221    ,1,Y,N,N
CUYAMACA COLLEGE,021,257,ARBC-250    ,CCC000506594,Conversational Arabic I                                             ,111200,D,A,3,3,N,E,N,Y,N,Y,Y,Y,ARBC-250    ,1,Y,N,N
