"C-ID #","C-ID Descriptor","Institution","Institution type","Local Course Title(s)","Local Dept. Name & Number","Approval date","COR effective term"
"SOCI 115","Social Problems","Shasta College","California Community College","Social Problems","SOC 2","2026-06-11","Spring 2011"
"COMM 140","Small Group Communication","Shasta College","California Community College","Small Group Communication","CMST 54","2026-06-11","Spring 2011"
"COMM 120","Argumentation or Argumentation and Debate","Lemoore College","California Community College","Argumentation and Debate","COM 3","2026-06-11","Spring 2010"
"COMM 130","Interpersonal Communication","Lemoore College","California Community College","Interpersonal Communication","COM 5","2026-06-11","Spring 2010"
"COMM 140","Small Group Communication","Modesto Junior College","California Community College","Group & Organizational Communication","COMM 106","2026-06-11","Spring 2010"
"SOCI 110","Introduction to Sociology","Sierra College","California Community College","Introduction to Sociology","SOC 1","2026-06-11","Spring 2011"
"SOCI 115","Social Problems","Sierra College","California Community College","Social Problems","SOC 2","2026-06-11","Spring 2011"
"SOCI 110","Introduction to Sociology","Columbia College","California Community College","Introduction to Sociology","SOCIO 1","2026-06-11","Spring 2011"
"SOCI 115","Social Problems","Columbia College","California Community College","American Society:  Social Problems and Deviance","SOCIO 2","2026-06-11","Spring 2011"
"COMM 130","Interpersonal Communication","Las Positas College","California Community College","Interpersonal Communication","SPCH 10","2026-06-11","Fall 2008"
"COMM 140","Small Group Communication","Las Positas College","California Community College","Group Communication","SPCH 3","2026-06-11","Fall 2008"
"COMM 120","Argumentation or Argumentation and Debate","Las Positas College","California Community College","Argumentation and Debate","SPCH 46","2026-06-11","Fall 2008"
"COMM 110","Public Speaking","Las Positas College","California Community College","Fundamentals of Speech Communication","SPCH 1","2026-06-11","Fall 2008"
"COMM 120","Argumentation or Argumentation and Debate","Pasadena City College","California Community College","Argumentation and Debate","SPCH 006","2026-06-11","Spring 2011"
"SOCI 110","Introduction to Sociology","Santiago Canyon College","California Community College","Introduction to Sociology 100","SOC 100","2026-06-11","Fall 2007"
"CHEM 110","General Chemistry for Science Majors I, with Lab","Laney College","California Community College","General Chemistry","CHEM 1A","2026-06-11","Fall 2012"
"CHEM 120 S","General Chemistry for Science Majors Sequence A + General Chemistry for Science Majors Sequence A","Laney College","California Community College","General Chemistry + General Chemistry","CHEM 1B + CHEM 1A","2026-06-11","Fall 2012"
"SOCI 125","Introduction to Statistics in Sociology","Foothill College","California Community College","STATISTICS FOR THE BEHAVIORAL SCIENCES","PSYC 7","2026-06-11","Fall 2012"
"BUS 110","Introduction to Business + Introduction to Business + Introduction to Business","Norco College + Riverside City College + Moreno Valley College","California Community College","Honors Introduction to Business + Honors Introduction to Business + Honors Introduction to Business","BUS 10H + BUS 10H + BUS 10H","2026-06-11","Summer 2017"
"BIOL 190","Cell and Molecular Biology + Cell and Molecular Biology + Cell and Molecular Biology","Norco College + Moreno Valley College + Riverside City College","California Community College","Introduction to Molecular and Cellular Biology + Introduction to Molecular and Cellular Biology + Introduction to Molecular and Cellular Biology","BIO 11 + BIO 11 + BIO 11","2026-06-11","Summer 2015"
"BIOL 135 S","Biology Sequence for Majors + Biology Sequence for Majors + Biology Sequence for Majors + Biology Sequence for Majors + Biology Sequence for Majors + Biology Sequence for Majors","Norco College + Moreno Valley College + Moreno Valley College + Riverside City College + Riverside City College + Norco College","California Community College","Introduction to Organismal and Population Biology + Introduction to Molecular and Cellular Biology + Introduction to Organismal and Population Biology + Introduction to Organismal and Population Biology + Introduction to Molecular and Cellular Biology + Introduction to Molecular and Cellular Biology","BIO 12 + BIO 11 + BIO 12 + BIO 12 + BIO 11 + BIO 11","2026-06-11","Summer 2015 + Summer 2012"
