id,rule,group,key,title,issuer,evidence,suggestion,needs_judgment,initiated
F0001,roman_level,,Apparel Construction I,Apparel Construction I,California Community Colleges,roman token(s) I,Apparel Construction 1,False,True
F0002,roman_level,,Apparel Construction I Lab,Apparel Construction I Lab,California Community Colleges,roman token(s) I,Apparel Construction 1 Lab,False,True
F0003,roman_level,,Applied Biotechnology I,Applied Biotechnology I,California Community Colleges,roman token(s) I,Applied Biotechnology 1,False,True
F0004,roman_level,,Architectural Design I,Architectural Design I,California Community Colleges,roman token(s) I,Architectural Design 1,False,False
F0005,roman_level,,Architectural Drawing I,Architectural Drawing I,California Community Colleges,roman token(s) I,Architectural Drawing 1,False,True
F0006,roman_level,,Art of Graphic Design I,Art of Graphic Design I,Orange High School,roman token(s) I,Art of Graphic Design 1,False,True
F0007,roman_level,,ASME BPVC Section IX Pipe Welder Qualification — GMAW & FCAW,ASME BPVC Section IX Pipe Welder Qualification — GMAW & FCAW,American Society of Mechanical Engineers (ASME),roman token(s) IX,ASME BPVC Section 9 Pipe Welder Qualification — GMAW & FCAW,True,False
F0008,roman_level,,ASME BPVC Section IX Pipe Welder Qualification — GTAW,ASME BPVC Section IX Pipe Welder Qualification — GTAW,American Society of Mechanical Engineers (ASME),roman token(s) IX,ASME BPVC Section 9 Pipe Welder Qualification — GTAW,True,False
F0009,roman_level,,ASME BPVC Section IX Pipe Welder Qualification — SMAW,ASME BPVC Section IX Pipe Welder Qualification — SMAW,American Society of Mechanical Engineers (ASME),roman token(s) IX,ASME BPVC Section 9 Pipe Welder Qualification — SMAW,True,False
F0010,roman_level,,ASME BPVC Section IX — FCAW Welder Qualification,ASME BPVC Section IX — FCAW Welder Qualification,American Society of Mechanical Engineers (ASME),roman token(s) IX,ASME BPVC Section 9 — FCAW Welder Qualification,True,False
F0011,roman_level,,ASME BPVC Section IX — GMAW Welder Qualification,ASME BPVC Section IX — GMAW Welder Qualification,American Society of Mechanical Engineers (ASME),roman token(s) IX,ASME BPVC Section 9 — GMAW Welder Qualification,True,False
F0012,roman_level,,ASME BPVC Section IX — GTAW Welder Qualification,ASME BPVC Section IX — GTAW Welder Qualification,American Society of Mechanical Engineers (ASME),roman token(s) IX,ASME BPVC Section 9 — GTAW Welder Qualification,True,False
F0013,roman_level,,ASME BPVC Section IX — SMAW Welder Qualification,ASME BPVC Section IX — SMAW Welder Qualification,American Society of Mechanical Engineers (ASME),roman token(s) IX,ASME BPVC Section 9 — SMAW Welder Qualification,True,False
F0014,roman_level,,BIM and Sustainable Design Strategies I,BIM and Sustainable Design Strategies I,California Community Colleges,roman token(s) I,BIM and Sustainable Design Strategies 1,False,True
F0015,roman_level,,Calculus I With Analytic Geometry,Calculus I With Analytic Geometry,California Community Colleges,roman token(s) I,Calculus 1 With Analytic Geometry,False,False
F0016,roman_level,,Calculus II,Calculus II,California Community Colleges,roman token(s) II,Calculus 2,False,True
F0017,roman_level,,Calculus II With Analytic Geometry,Calculus II With Analytic Geometry,California Community Colleges,roman token(s) II,Calculus 2 With Analytic Geometry,False,False
F0018,roman_level,,Class Piano — Beginning II,Class Piano — Beginning II,California Community Colleges,roman token(s) II,Class Piano — Beginning 2,False,True
F0019,roman_level,,CLEP French Language Level I,CLEP French Language Level I,College Board,roman token(s) I,CLEP French Language Level 1,False,False
F0020,roman_level,,CLEP French Language Level II,CLEP French Language Level II,College Board,roman token(s) II,CLEP French Language Level 2,False,False
F0021,roman_level,,CLEP German Language Level I,CLEP German Language Level I,College Board,roman token(s) I,CLEP German Language Level 1,False,False
F0022,roman_level,,CLEP German Language Level II,CLEP German Language Level II,College Board,roman token(s) II,CLEP German Language Level 2,False,False
F0023,roman_level,,CLEP History of the United States I,CLEP History of the United States I,College Board,roman token(s) I,CLEP History of the United States 1,False,False
F0024,roman_level,,CLEP History of the United States II,CLEP History of the United States II,College Board,roman token(s) II,CLEP History of the United States 2,False,False
F0025,roman_level,,CLEP Spanish Language Level I,CLEP Spanish Language Level I,College Board,roman token(s) I,CLEP Spanish Language Level 1,False,False
F0026,roman_level,,CLEP Spanish Language Level II,CLEP Spanish Language Level II,College Board,roman token(s) II,CLEP Spanish Language Level 2,False,False
F0027,roman_level,,CLEP Spanish with Writing I,CLEP Spanish with Writing I,College Board,roman token(s) I,CLEP Spanish with Writing 1,False,False
F0028,roman_level,,CLEP Spanish with Writing II,CLEP Spanish with Writing II,College Board,roman token(s) II,CLEP Spanish with Writing 2,False,False
F0029,roman_level,,CLEP Spanish with Writing Level I,CLEP Spanish with Writing Level I,College Board,roman token(s) I,CLEP Spanish with Writing Level 1,False,False
F0030,roman_level,,CLEP Spanish with Writing Level II,CLEP Spanish with Writing Level II,College Board,roman token(s) II,CLEP Spanish with Writing Level 2,False,False
F0031,roman_level,,CLEP Western Civilization I,CLEP Western Civilization I,College Board,roman token(s) I,CLEP Western Civilization 1,False,False
F0032,roman_level,,CLEP Western Civilization II,CLEP Western Civilization II,College Board,roman token(s) II,CLEP Western Civilization 2,False,False
F0033,roman_level,,Diagnostic Medical Sonography — Clinical Education IV,Diagnostic Medical Sonography — Clinical Education IV,California Community Colleges,roman token(s) IV,Diagnostic Medical Sonography — Clinical Education 4,False,True
