COLLEGE,"CONTROL NUMBER",TITLE,"TOP CODE","CIP CODE",GOAL,AWARD,"SUB AWARD","APPROVED DATE","CERT UNITS","MAJOR UNITS",STATUS
ALAMEDA,01136,"African-American Studies","2203.00 Ethnic Studies","05.0200 Ethnic Studies.","O - Local","A.A. Degree",,,,18.00-18.00/18.00-18.00,Active
ALAMEDA,01135,Anthropology,"2202.00 Anthropology",," - ","A.A. Degree",,,0.00-0.00/0.00-0.00,18.00-18.00/18.00-18.00,Inactive
ALAMEDA,01118,Art,"1002.00 Art","50.0701 Art/Art Studies, General.","O - Local","A.A. Degree",,,,18.00-18.00/19.00-19.00,Active
ALAMEDA,01115,"Auto Body","0949.00* Automotive Collision Repair",,"C - CTE","A.S. Degree",,,,27.00-27.00/27.00-27.00,Active
ALAMEDA,19834,"Auto Paint","0949.00* Automotive Collision Repair","47.0603 Autobody/Collision and Repair Technology/Technician.","C - CTE","Certificate of Achievement requiring 16S/24Q to fewer than 30S/45Q units",,1991-01-01,25.00-25.00/25.00-25.00,0.00-0.00/0.00-0.00,Active
ALAMEDA,09015,"Auto Paint","0949.00* Automotive Collision Repair","47.0603 Autobody/Collision and Repair Technology/Technician.","C - CTE","A.S. Degree",,1991-01-01,,27.00-27.00/27.00-27.00,Active
ALAMEDA,09016,"Auto Technology Apprenticeship","0948.00* Automotive Technology",,"C - CTE","Certificate of Achievement: 18  or greater semester(or 27  or greater quarter) units",,,0.00-0.00/0.00-0.00,0.00-0.00/0.00-0.00,Inactive
ALAMEDA,09013,"Automotive Electronics Specialist","0948.00* Automotive Technology","47.0604 Automobile/Automotive Mechanics Technology/Technician.","C - CTE","A.S. Degree",,1995-01-01,,34.00-34.00/34.00-34.00,Active
ALAMEDA,19828,"Automotive Electronics Specialist","0948.00* Automotive Technology","47.0604 Automobile/Automotive Mechanics Technology/Technician.","C - CTE","Certificate of Achievement requiring 30S/45Q to fewer than 60S/90Q units",,1995-01-01,34.00-34.00/34.00-34.00,,Active
ALAMEDA,19835,"Aviation Maintenance Technology: Airframe Technician","0950.10* Aviation Airframe Mechanics","47.0607 Airframe Mechanics and Aircraft Maintenance Technology/Technician.","C - CTE","Certificate of Achievement requiring 30S/45Q to fewer than 60S/90Q units",,,44.00-44.00/44.00-44.00,,Active
ALAMEDA,01116,"Aviation Maintenance Technology: Airframe Technician","0950.10* Aviation Airframe Mechanics","47.0607 Airframe Mechanics and Aircraft Maintenance Technology/Technician.","C - CTE","A.S. Degree",,,,43.00-43.00/43.00-43.00,Active
ALAMEDA,19836,"Aviation Maintenance Technology: Powerplant Technician","0950.20* Aviation Powerplant Mechanics","47.0608 Aircraft Powerplant Technology/Technician.","C - CTE","Certificate of Achievement requiring 30S/45Q to fewer than 60S/90Q units",,,50.00-50.00/50.00-50.00,,Active
ALAMEDA,09017,"Aviation Maintenance Technology: Powerplant Technician","0950.20* Aviation Powerplant Mechanics","47.0608 Aircraft Powerplant Technology/Technician.","C - CTE","A.S. Degree",,,,50.00-50.00/50.00-50.00,Active
ALAMEDA,09005,Biology,"0401.00 Biology, General","26.0101 Biology/Biological Sciences, General.","O - Local","A.S. Degree",,,,30.00-30.00/30.00-30.00,Active
ALAMEDA,09006,"Business Administration","0505.00* Business Administration",,"C - CTE","A.A. Degree",,,0.00-0.00/0.00-0.00,21.00-21.00/21.00-21.00,Inactive
ALAMEDA,01106,"Business: Accounting","0502.00* Accounting",,"C - CTE","A.A. Degree",,,,31.00-31.00/32.00-32.00,Active
ALAMEDA,19841,"Business: Accounting","0502.00* Accounting","52.0301 Accounting.","C - CTE","Certificate of Achievement requiring 16S/24Q to fewer than 30S/45Q units",,,29.00-29.00/29.00-29.00,,Active
