college,cpl_url
Allan Hancock College,https://cpldashboardcccco.azurewebsites.net/allan
American River College,https://cpldashboardcccco.azurewebsites.net/AMEC
Antelope Valley College,https://cpldashboardcccco.azurewebsites.net/AVC
Bakersfield College,https://cpldashboardcccco.azurewebsites.net/Bakersfieldcollege
Barstow College,https://cpldashboardcccco.azurewebsites.net/BC
Berkeley City College,https://cpldashboardcccco.azurewebsites.net/BERC
Butte College,https://cpldashboardcccco.azurewebsites.net/BUTC
Cabrillo College,https://cpldashboardcccco.azurewebsites.net/CABC
Cañada College,https://cpldashboardcccco.azurewebsites.net/CA%C3%91C
Cerritos College,https://cpldashboardcccco.azurewebsites.net/www.cerritos.edu
Cerro Coso Community College,https://cpldashboardcccco.azurewebsites.net/CCCC
Chabot College,https://cpldashboardcccco.azurewebsites.net/CHAC
Chaffey College,https://cpldashboardcccco.azurewebsites.net/CHC
Citrus College,https://cpldashboardcccco.azurewebsites.net/CITR
City College of San Francisco,https://cpldashboardcccco.azurewebsites.net/CITC
Clovis Community College,https://cpldashboardcccco.azurewebsites.net/CLOC
Coalinga College,https://cpldashboardcccco.azurewebsites.net/COAL
Coastline Community College,https://cpldashboardcccco.azurewebsites.net/COAC
College of Alameda,https://cpldashboardcccco.azurewebsites.net/COA
College of Marin,https://cpldashboardcccco.azurewebsites.net/COM
College of San Mateo,https://cpldashboardcccco.azurewebsites.net/M
College of the Canyons,https://cpldashboardcccco.azurewebsites.net/Collegeofthecanyons
College of the Desert,https://cpldashboardcccco.azurewebsites.net/COD
College of the Redwoods,https://cpldashboardcccco.azurewebsites.net/COR
College of the Sequoias,https://cpldashboardcccco.azurewebsites.net/sequoias
College of the Siskiyous,https://cpldashboardcccco.azurewebsites.net/COSY
Columbia College,https://cpldashboardcccco.azurewebsites.net/CC
Compton Community College,https://cpldashboardcccco.azurewebsites.net/COMC
Contra Costa College,https://cpldashboardcccco.azurewebsites.net/CONC
Copper Mountain College,https://cpldashboardcccco.azurewebsites.net/CMC
Cosumnes River College,https://cpldashboardcccco.azurewebsites.net/COSC
Crafton Hills College,https://cpldashboardcccco.azurewebsites.net/CRAFC
Cuesta College,https://cpldashboardcccco.azurewebsites.net/CUEC
Cuyamaca College,https://cpldashboardcccco.azurewebsites.net/CUYC
Cypress College,https://cpldashboardcccco.azurewebsites.net/CYPC
De Anza College,https://cpldashboardcccco.azurewebsites.net/DEAC
Diablo Valley College,https://cpldashboardcccco.azurewebsites.net/DIAC
East Los Angeles College,https://cpldashboardcccco.azurewebsites.net/elac.edu
El Camino College,https://cpldashboardcccco.azurewebsites.net/EL%20C
Evergreen Valley College,https://cpldashboardcccco.azurewebsites.net/EVEC
Feather River College,https://cpldashboardcccco.azurewebsites.net/FEAC
Folsom Lake College,https://cpldashboardcccco.azurewebsites.net/FLC
Foothill College,https://cpldashboardcccco.azurewebsites.net/FOOC
Fresno City College,https://cpldashboardcccco.azurewebsites.net/FREC
Fullerton College,https://cpldashboardcccco.azurewebsites.net/FULC
Gavilan College,https://cpldashboardcccco.azurewebsites.net/GAVC
Glendale Community College,https://cpldashboardcccco.azurewebsites.net/GLEC
Golden West College,https://cpldashboardcccco.azurewebsites.net/GOLC
Grossmont College,https://cpldashboardcccco.azurewebsites.net/GROC
Hartnell College,https://cpldashboardcccco.azurewebsites.net/HARC
Imperial Valley College,https://cpldashboardcccco.azurewebsites.net/IMPC
Irvine Valley College,https://cpldashboardcccco.azurewebsites.net/IRVC
